pack,pos,number,name,subtitle,rarity,type,variant,slotRole,pullOrder,confidence,note
4,8,330,Luke's Jedi Lightsaber,Constructed by Hand,Special,Upgrade,Hyperspace,hs,true,high,
4,9,475,Fateful Goodbye,,Rare,Event,Hyperspace,hs,true,high,
4,10,796,Bo-Katan's Gauntlet,Reinforce from Above,Rare,Unit,Standard Prestige,prestige,true,high,
4,11,665,Reckless Sacrifice,,Rare,Event,Hyperspace Foil,hsf,true,high,
4,12,706,Blade Three,Bane of the Devastator,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
4,13,540,Purrgil Ultra,,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
4,14,547,Reanimated Night Trooper,,Common,Unit,Hyperspace Foil,hsf,true,high,
4,15,760,Grassroots Resistance,,Common,Event,Hyperspace Foil,hsf,true,high,
4,16,734,Full of Surprises,,Common,Event,Hyperspace Foil,hsf,true,high,
5,1,268,Grand Admiral Thrawn,Victory is Mine,Rare,Leader,Hyperspace,leader,true,high,
5,2,344,Covert Believers,,Common,Unit,Hyperspace,hs,true,high,
5,3,434,Desert Sharpshooter,,Common,Unit,Hyperspace,hs,true,high,
5,4,380,Ant Droid,,Common,Unit,Hyperspace,hs,true,high,
5,5,524,Mos Espa Watermonger,,Common,Unit,Hyperspace,hs,true,high,
5,6,437,Shydopp Pirate Skiff,,Common,Unit,Hyperspace,hs,true,high,
5,7,320,Huyang,Your Aptitude Falls Short,Uncommon,Unit,Hyperspace,hs,true,high,
5,8,308,Barriss Offee,Redeeming Herself,Uncommon,Unit,Hyperspace,hs,true,high,
5,9,317,Pre Vizsla,Strong-Willed Ruler,Legendary,Unit,Hyperspace,hs,true,high,
5,10,866,Leia Organa,Vigilant for Danger,Special,Unit,Foil Prestige,prestige,true,high,
5,11,537,Tatooine Repulsor Train,,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
5,12,556,Pointless to Resist,,Uncommon,Upgrade,Hyperspace Foil,hsf,true,high,
5,13,746,Remnant Trooper Corps,,Common,Unit,Hyperspace Foil,hsf,true,high,
5,14,707,Inspiring Veteran,,Common,Unit,Hyperspace Foil,hsf,true,high,
5,15,669,Flarestar Attack Shuttle,,Common,Unit,Hyperspace Foil,hsf,true,high,
5,16,619,Outland Protector,,Common,Unit,Hyperspace Foil,hsf,true,high,
6,1,277,Ezra Bridger,It's Now or Never,Common,Leader,Hyperspace,leader,true,high,
6,2,350,Durasteel Plating,,Common,Upgrade,Hyperspace,hs,true,high,
6,3,477,Womp Rat,,Common,Unit,Hyperspace,hs,true,high,
6,4,398,Warrior's Legacy,,Common,Upgrade,Hyperspace,hs,true,high,
6,5,514,Imperial Defector,,Common,Unit,Hyperspace,hs,true,high,
6,6,491,Heightened Awareness,,Common,Upgrade,Hyperspace,hs,true,high,
6,7,401,Wipe Them Out,,Uncommon,Event,Hyperspace,hs,true,high,
6,8,436,Razor Crest,Outfitted Armament,Uncommon,Unit,Hyperspace,hs,true,high,
6,9,512,Neel,The Cutest Boy,Rare,Unit,Hyperspace,hs,true,high,
6,10,813,Sense Through the Force,,Rare,Event,Standard Prestige,prestige,true,high,
6,11,634,Queen Soruna,Willing to Fight,Rare,Unit,Hyperspace Foil,hsf,true,high,
6,12,725,Halo,Not According to Plan,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
6,13,724,Unsanctioned Patrol,,Common,Unit,Hyperspace Foil,hsf,true,high,
6,14,677,Wookiee Chieftain,,Common,Unit,Hyperspace Foil,hsf,true,high,
6,15,622,Warrior of Clan Kryze,,Common,Unit,Hyperspace Foil,hsf,true,high,
6,16,575,Palace Chef Droid,,Common,Unit,Hyperspace Foil,hsf,true,high,
7,1,270,Sabine Wren,Bargaining on Belief,Common,Leader,Hyperspace,leader,true,high,
7,2,353,Perseverance,,Common,Event,Hyperspace,hs,true,high,
7,3,492,Preparation,,Common,Upgrade,Hyperspace,hs,true,high,
7,4,384,Warrior of Clan Kryze,,Common,Unit,Hyperspace,hs,true,high,
7,5,513,Covert Veteran,,Common,Unit,Hyperspace,hs,true,high,
7,6,440,Imposing Scout Walker,,Common,Unit,Hyperspace,hs,true,high,
7,7,468,Blade Three,Bane of the Devastator,Uncommon,Unit,Hyperspace,hs,true,high,
7,8,336,Doctor Pershing,Dedicated to Research,Uncommon,Unit,Hyperspace,hs,true,high,
7,9,327,Bo-Katan's Gauntlet,Reinforce from Above,Rare,Unit,Hyperspace,hs,true,high,
7,10,816,One Must Destroy to Create,,Rare,Event,Standard Prestige,prestige,true,high,
7,11,570,Domesticated Loth-Cat,,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
7,12,664,Rash Action,,Uncommon,Event,Hyperspace Foil,hsf,true,high,
7,13,668,Ewok Warrior,,Common,Unit,Hyperspace Foil,hsf,true,high,
7,14,636,Warrior's Legacy,,Common,Upgrade,Hyperspace Foil,hsf,true,high,
7,15,740,Attendant Navigator,,Common,Unit,Hyperspace Foil,hsf,true,high,
7,16,583,Nebulon-C Frigate,,Common,Unit,Hyperspace Foil,hsf,true,high,
8,1,267,Baylan Skoll,Power Beyond Dream,Common,Leader,Hyperspace,leader,true,high,
8,2,482,Ferry Droid,,Common,Unit,Hyperspace,hs,true,high,
8,3,381,Outland Protector,,Common,Unit,Hyperspace,hs,true,high,
8,4,526,Faith in the Empire,,Common,Upgrade,Hyperspace,hs,true,high,
8,5,407,Tempest Lieutenant,,Common,Unit,Hyperspace,hs,true,high,
8,6,410,Justifier,Relentless,Uncommon,Unit,Hyperspace,hs,true,high,
8,7,397,Trask Walker,,Uncommon,Unit,Hyperspace,hs,true,high,
8,8,476,Peli Motto,You Bring the Cash?,Rare,Unit,Hyperspace,hs,true,high,
8,9,441,Onyx Cinder,Adventure Awaits,Rare,Unit,Hyperspace,hs,true,high,
8,10,790,Baylan Skoll,Fallen Jedi,Rare,Unit,Standard Prestige,prestige,true,high,
8,11,641,Hold Them Off,,Uncommon,Event,Hyperspace Foil,hsf,true,high,
8,12,596,Moff Jerjerrod,We Shall Redouble Our Efforts,Special,Unit,Hyperspace Foil,hsf,true,high,
8,13,632,Fang Fighter Squadron,,Common,Unit,Hyperspace Foil,hsf,true,high,
8,14,559,Lothal E-Wing,,Common,Unit,Hyperspace Foil,hsf,true,high,
8,15,717,Flanking TIE Interceptor,,Common,Unit,Hyperspace Foil,hsf,true,high,
8,16,753,Zealous Soldier,,Common,Unit,Hyperspace Foil,hsf,true,high,
9,1,328,The Armorer,Secrecy is Our Survival,Uncommon,Unit,Hyperspace,leader,true,high,
9,2,370,Pathfinder Sergeant,,Common,Unit,Hyperspace,hs,true,high,
9,3,497,Keep Them Talking,,Common,Event,Hyperspace,hs,true,high,
9,4,321,Lothal E-Wing,,Common,Unit,Hyperspace,hs,true,high,
9,5,503,Imperial Loyalist,,Common,Unit,Hyperspace,hs,true,high,
9,6,430,Ewok Warrior,,Common,Unit,Hyperspace,hs,true,high,
9,7,329,Home One,Heart of the Fleet,Uncommon,Unit,Hyperspace,hs,true,high,
9,8,505,Marrok's Fiend Fighter,Formidable Pursuer,Uncommon,Unit,Hyperspace,hs,true,high,
9,9,494,Improvised Identity,,Legendary,Upgrade,Hyperspace,hs,true,high,
9,10,798,Arcana Star Map,Path to Peridea,Legendary,Upgrade,Standard Prestige,prestige,true,high,
9,11,714,Peli Motto,You Bring the Cash?,Rare,Unit,Hyperspace Foil,hsf,true,high,
9,12,694,Fennec Shand,The Galaxy Is Dangerous,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
9,13,582,Covert Believers,,Common,Unit,Hyperspace Foil,hsf,true,high,
9,14,598,Forest Patroller,,Common,Unit,Hyperspace Foil,hsf,true,high,
9,15,761,LEP Ratcatcher,,Common,Unit,Hyperspace Foil,hsf,true,high,
9,16,643,TIE Striker,,Common,Unit,Hyperspace Foil,hsf,true,high,
10,1,272,Moff Gideon,Indomitable Warlord,Common,Leader,Hyperspace,leader,true,high,
10,2,362,AT-ST Raider,,Common,Unit,Hyperspace,hs,true,high,
10,3,469,Inspiring Veteran,,Common,Unit,Hyperspace,hs,true,high,
10,4,504,Mandalorian Super Commandos,,Common,Unit,Hyperspace,hs,true,high,
10,5,438,StarFortress Heavy Bomber,,Common,Unit,Hyperspace,hs,true,high,
10,6,333,Noti Nomad,,Common,Unit,Hyperspace,hs,true,high,
10,7,474,DDC Defender,,Uncommon,Upgrade,Hyperspace,hs,true,high,
10,8,426,Rash Action,,Uncommon,Event,Hyperspace,hs,true,high,
10,9,396,Queen Soruna,Willing to Fight,Rare,Unit,Hyperspace,hs,true,high,
10,10,835,Grand Admiral Thrawn,Orchestrating His Return,Rare,Unit,Foil Prestige,prestige,true,high,
10,11,682,Bokken Saber,,Uncommon,Upgrade,Hyperspace Foil,hsf,true,high,
10,12,755,Yellow Aces Bomber,,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
10,13,591,Perseverance,,Common,Event,Hyperspace Foil,hsf,true,high,
10,14,683,Mark My Words,,Common,Upgrade,Hyperspace Foil,hsf,true,high,
10,15,618,Ant Droid,,Common,Unit,Hyperspace Foil,hsf,true,high,
10,16,727,Tatooine Sand Beast,,Common,Unit,Hyperspace Foil,hsf,true,high,
11,1,275,Cad Bane,Still Faster than You,Common,Leader,Hyperspace,leader,true,high,
11,2,478,Amnesty Officer,,Common,Unit,Hyperspace,hs,true,high,
11,3,523,LEP Ratcatcher,,Common,Unit,Hyperspace,hs,true,high,
11,4,527,The Way of the Mand'alor,,Common,Upgrade,Hyperspace,hs,true,high,
11,5,356,Foundling Rescue,,Common,Event,Hyperspace,hs,true,high,
11,6,409,Praetorian Elite,,Common,Unit,Hyperspace,hs,true,high,
11,7,332,Domesticated Loth-Cat,,Uncommon,Unit,Hyperspace,hs,true,high,
11,8,379,The Student Guides the Master,,Uncommon,Event,Hyperspace,hs,true,high,
11,9,291,Enoch,Solemn Servant,Rare,Unit,Hyperspace,hs,true,high,
11,10,858,Sabine Wren,I Learned the Hard Way,Uncommon,Unit,Foil Prestige,prestige,true,high,
11,11,579,Ryder Azadi,Restored Governor,Rare,Unit,Hyperspace Foil,hsf,true,high,
11,12,567,Home One,Heart of the Fleet,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
11,13,609,Clan Wren Loyalist,,Common,Unit,Hyperspace Foil,hsf,true,high,
11,14,687,Intimidation,,Common,Event,Hyperspace Foil,hsf,true,high,
11,15,733,Diplomatic Pageantry,,Common,Event,Hyperspace Foil,hsf,true,high,
11,16,756,Gallofree Transport,,Common,Unit,Hyperspace Foil,hsf,true,high,
12,1,313,Shin Hati,Going Somewhere?,Uncommon,Unit,Hyperspace,leader,true,high,
12,2,457,Emperor's Champion,,Common,Unit,Hyperspace,hs,true,high,
12,3,339,Pit Droid Team,,Common,Unit,Hyperspace,hs,true,high,
12,4,375,Children of the Watch,,Common,Unit,Hyperspace,hs,true,high,
12,5,431,Flarestar Attack Shuttle,,Common,Unit,Hyperspace,hs,true,high,
12,6,367,Long Live the Empire,,Uncommon,Event,Hyperspace,hs,true,high,
12,7,490,Qi'ra,Master of Teräs Käsi,Uncommon,Unit,Hyperspace,hs,true,high,
12,8,358,Moff Jerjerrod,We Shall Redouble Our Efforts,Special,Unit,Hyperspace,hs,true,high,
12,9,392,Bothan-5,New Republic Prison Ship,Rare,Unit,Hyperspace,hs,true,high,
12,10,801,Luke Skywalker,Answering the Call,Legendary,Unit,Standard Prestige,prestige,true,high,
12,11,604,Ravager,Final Imperial Command,Legendary,Unit,Hyperspace Foil,hsf,true,high,
12,12,605,Long Live the Empire,,Uncommon,Event,Hyperspace Foil,hsf,true,high,
12,13,676,StarFortress Heavy Bomber,,Common,Unit,Hyperspace Foil,hsf,true,high,
12,14,553,Reinforcing Light Cruiser,,Common,Unit,Hyperspace Foil,hsf,true,high,
12,15,692,Peridea Bandit,,Common,Unit,Hyperspace Foil,hsf,true,high,
12,16,739,Mouse Droid,,Common,Unit,Hyperspace Foil,hsf,true,high,
