pack,pos,number,name,subtitle,rarity,type,variant,normalNumber,foilLook,hyperspaceLook,confidence,note
4,15,217,Mayor's Majordomo,No Problem Groveling,Uncommon,Unit,Normal,217,0,0,medium,art match: green-robed figure with arms outstretched holding tablet (same card seen sharp in pack06); number inferred
4,16,168,Migs Mayfeld,How About a Toast?,Rare,Unit,Normal,168,0,0,medium,"rare slot; art match: bald man firing pistol with red muzzle flashes, red frame, unique diamond in title; number inferred"
5,1,277,Ezra Bridger,It's Now or Never,Common,Leader,Hyperspace,13,0,1,high,Leader sideways at start of row 1; printed 277 (hyperspace variant)
5,2,21,Emperor's Throne Room,,Common,Base,Normal,21,0,0,high,printed 21/264
5,3,260,Mos Espa Watermonger,,Common,Unit,Normal,260,0,0,high,
5,4,69,Noti Nomad,,Common,Unit,Normal,69,0,0,high,
5,5,188,Galvanized Leap,,Common,Event,Normal,188,0,0,high,printed 188/264 verified by zoom
5,6,45,Reanimated Night Trooper,,Common,Unit,Normal,45,0,0,high,
5,7,356,Foundling Rescue,,Common,Event,Hyperspace,92,0,1,high,printed 356 (hyperspace variant)
5,8,250,Imperial Defector,,Common,Unit,Normal,250,0,0,high,
5,9,120,Warrior of Clan Kryze,,Common,Unit,Normal,120,0,0,high,
5,10,218,Ferry Droid,,Common,Unit,Normal,218,0,0,high,
5,11,106,Pathfinder Sergeant,,Common,Unit,Normal,106,0,0,high,printed 106/264 verified by zoom
5,12,638,Display of Strength,,Common,Event,Hyperspace Foil,136,1,1,high,"visible foil glare, hyperspace frame; printed number 638 matches DB hyperspace-foil row"
5,13,156,R5-D4,Built for Adventure,Uncommon,Unit,Normal,156,0,0,high,
5,14,115,The Student Guides the Master,,Uncommon,Event,Normal,115,0,0,high,
5,15,49,Shin Hati,Going Somewhere?,Uncommon,Unit,Normal,49,0,0,high,
5,16,90,Reforge,,Rare,Event,Normal,90,0,0,high,rare slot
6,1,11,Cad Bane,Still Faster than You,Common,Leader,Normal,11,0,0,high,leader sideways at start of row 1; printed 11/264
6,2,22,Kryze Castle,,Common,Base,Normal,22,0,0,high,printed 22/264
6,3,173,Shydopp Pirate Skiff,,Common,Unit,Normal,173,0,0,high,
6,4,81,Nebulon-C Frigate,,Common,Unit,Normal,81,0,0,high,
6,5,171,Pegasus Tri-Wing,,Common,Unit,Normal,171,0,0,high,
6,6,261,Noti Mobile Pod,,Common,Unit,Normal,261,0,0,high,
6,7,409,Praetorian Elite,,Common,Unit,Hyperspace,145,0,1,high,"printed 409 (hyperspace variant), borderless frame"
6,8,228,Preparation,,Common,Upgrade,Normal,228,0,0,high,
6,9,96,Forest Patroller,,Common,Unit,Normal,96,0,0,high,
6,10,254,Gallofree Transport,,Common,Unit,Normal,254,0,0,high,
6,11,216,Mandalorian Scout,,Common,Unit,Normal,216,0,0,high,
6,12,720,Ferry Droid,,Common,Unit,Hyperspace Foil,218,1,1,high,foil slot; visible glare and hyperspace burst frame; printed 720
6,13,159,Alphabet Squadron U-Wing,Quiet Devotion,Uncommon,Unit,Normal,159,0,0,high,
6,14,198,Nowhere to Hide,,Uncommon,Upgrade,Normal,198,0,0,high,
6,15,217,Mayor's Majordomo,No Problem Groveling,Uncommon,Unit,Normal,217,0,0,high,
6,16,84,Arcana Star Map,Path to Peridea,Legendary,Upgrade,Normal,84,0,0,high,rare/legendary slot
7,1,2,Fennec Shand,Ready for War,Rare,Leader,Normal,2,0,0,high,read 2/264
7,2,24,Dragonsnake Bog,,Common,Base,Normal,24,0,0,high,"read 24/264, Dagobah"
7,3,71,Battered Haulcraft,,Common,Unit,Normal,71,0,0,high,read 71/264
7,4,165,Clan Vizsla Soldier,,Common,Unit,Normal,165,0,0,high,read 165/264
7,5,92,Foundling Rescue,,Common,Event,Normal,92,0,0,high,read 92/264
7,6,240,Mandalorian Super Commandos,,Common,Unit,Normal,240,0,0,high,read 240/264
7,7,362,AT-ST Raider,,Common,Unit,Hyperspace,98,0,1,high,"read 362, hyperspace variant"
7,8,117,Outland Protector,,Common,Unit,Normal,117,0,0,high,read 117/264
7,9,231,Diplomatic Pageantry,,Common,Event,Normal,231,0,0,high,read 231/264
7,10,264,A New Order,,Common,Event,Normal,264,0,0,high,read 264/264
7,11,138,Turning the Tide,,Common,Event,Normal,138,0,0,high,read 138/264
7,12,656,Honorable Nite Owl,,Common,Unit,Hyperspace Foil,154,1,1,high,"read 656, hyperspace foil; visible shine and borderless frame"
7,13,137,Wipe Them Out,,Uncommon,Event,Normal,137,0,0,high,read 137/264
7,14,29,Scorpenek Annihilator Droid,,Uncommon,Unit,Normal,29,0,0,high,read 29/264
7,15,354,Reforge,,Rare,Event,Hyperspace,90,0,1,high,"read 354, hyperspace variant"
7,16,212,Peli Motto,You Bring the Cash?,Rare,Unit,Normal,212,0,0,high,read 212/264
8,1,6,Sabine Wren,Bargaining on Belief,Common,Leader,Normal,6,0,0,high,read 6/264; Jedi-Mandalorian-Spectre leader
8,2,20,"Nevarro City, Restored",,Common,Base,Normal,20,0,0,high,Nevarro base; number partially read as 20/264
8,3,154,Honorable Nite Owl,,Common,Unit,Normal,154,0,0,high,read 154/264 (normal printing)
8,4,86,Durasteel Plating,,Common,Upgrade,Normal,86,0,0,high,read 86/264
8,5,176,Imposing Scout Walker,,Common,Unit,Normal,176,0,0,high,read 176/264
8,6,82,Trexler Armored Marauder,,Common,Unit,Normal,82,0,0,high,read 82/264
8,7,469,Inspiring Veteran,,Common,Unit,Hyperspace,205,0,1,high,"read 469, hyperspace variant"
8,8,233,Keep Them Talking,,Common,Event,Normal,233,0,0,high,read 233/264
8,9,136,Display of Strength,,Common,Event,Normal,136,0,0,high,read 136/264
8,10,215,Flanking TIE Interceptor,,Common,Unit,Normal,215,0,0,high,read 215/264
8,11,258,Grassroots Resistance,,Common,Event,Normal,258,0,0,high,read 258/264
8,12,610,Crix Madine,Strike Team Strategist,Uncommon,Unit,Hyperspace Foil,108,1,1,high,"read 610, hyperspace foil; borderless frame with foil sparkle"
8,13,142,Mortar Trooper,,Uncommon,Unit,Normal,142,0,0,high,read 142/264
8,14,103,Long Live the Empire,,Uncommon,Event,Normal,103,0,0,high,read 103/264
8,15,226,Qi'ra,Master of Teräs Käsi,Uncommon,Unit,Normal,226,0,0,high,read 226/264
8,16,127,The Twins,We Don't Want War,Rare,Unit,Normal,127,0,0,high,read 127/264
9,1,9,Ahsoka Tano,Trust in the Force,Common,Leader,Normal,9,0,0,high,read 9/264; Force-Jedi leader
9,2,26,Freetown,,Common,Base,Normal,26,0,0,high,read 26/264; Tatooine base
9,3,184,Follow Me,,Common,Event,Normal,184,0,0,high,read 184/264
9,4,242,Death Trooper Squad,,Common,Unit,Normal,242,0,0,high,read 242/264
9,5,75,Pit Droid Team,,Common,Unit,Normal,75,0,0,high,read 75/264
9,6,181,Mark My Words,,Common,Upgrade,Normal,181,0,0,high,read 181/264
9,7,504,Mandalorian Super Commandos,,Common,Unit,Hyperspace,240,0,1,high,"read 504, hyperspace variant"
9,8,122,Consortium StarViper,,Common,Unit,Normal,122,0,0,high,read 122/264
9,9,221,Helix Starfighter,,Common,Unit,Normal,221,0,0,high,read 221/264
9,10,134,Warrior's Legacy,,Common,Upgrade,Normal,134,0,0,high,read 134/264
9,11,249,Covert Veteran,,Common,Unit,Normal,249,0,0,high,read 249/264
9,12,751,Covert Veteran,,Common,Unit,Hyperspace Foil,249,1,1,high,"read 751, hyperspace foil; duplicate of pos 11 in different printing"
9,13,85,Grav Charge,,Uncommon,Upgrade,Normal,85,0,0,high,read 85/264
9,14,38,Purrgil Ultra,,Uncommon,Unit,Normal,38,0,0,high,read 38/264
9,15,414,Deadly Vulnerability,,Uncommon,Upgrade,Hyperspace,150,0,1,high,"read 414, hyperspace variant"
9,16,202,Carson Teva,There's Something Going On,Rare,Unit,Normal,202,0,0,high,read 202/264
10,1,273,Ahsoka Tano,Trust in the Force,Common,Leader,Hyperspace,9,0,1,high,"leader, sideways at start of row 1; CORRECTED 9->273: printed number reads 273, borderless full-art with radial hyperspace art bleeding to edges"
10,2,25,Emperor's Observatory,,Common,Base,Normal,25,0,0,high,verified printed 25/264; black border
10,3,259,LEP Ratcatcher,,Common,Unit,Normal,259,0,0,high,verified printed 259/264
10,4,57,Lothal E-Wing,,Common,Unit,Normal,57,0,0,high,verified printed 57/264
10,5,170,Desert Sharpshooter,,Common,Unit,Normal,170,0,0,high,verified printed 170/264
10,6,91,Buy Time,,Common,Event,Normal,91,0,0,high,verified printed 91/264; black border
10,7,438,StarFortress Heavy Bomber,,Common,Unit,Hyperspace,174,0,1,high,"CORRECTED 174->438: printed number reads 438 (no /264), borderless full-art with art bleeding to card edges"
10,8,222,Unsanctioned Patrol,,Common,Unit,Normal,222,0,0,high,verified printed 222/264
10,9,121,Blurrg,,Common,Unit,Normal,121,0,0,high,verified printed 121/264
10,10,201,Open Circle Ace,,Common,Unit,Normal,201,0,0,high,verified printed 201/264
10,11,130,Fang Fighter Squadron,,Common,Unit,Normal,130,0,0,high,verified printed 130/264
10,12,578,Remnant Official,,Common,Unit,Hyperspace Foil,76,1,1,high,"CORRECTED 76->578: printed number reads 578, borderless silver full-art with foil shine (hyperspace foil)"
10,13,146,Justifier,Relentless,Uncommon,Unit,Normal,146,0,0,high,verified printed 146/264
10,14,223,Halo,Not According to Plan,Uncommon,Unit,Normal,223,0,0,high,verified printed 223/264
10,15,253,Yellow Aces Bomber,,Uncommon,Unit,Normal,253,0,0,high,verified printed 253/264
10,16,30,Marrok,Mysterious Warrior,Rare,Unit,Normal,30,0,0,high,rare slot; verified printed 30/264; black border
11,1,13,Ezra Bridger,It's Now or Never,Common,Leader,Normal,13,0,0,high,"leader, sideways at start of row 1; verified printed 13/264, black border"
11,2,19,Fortress of the Great Mothers,,Common,Base,Normal,19,0,0,high,"verified printed 19/264; location bar reads PERIDEA (base art title), black border"
11,3,175,Wookiee Chieftain,,Common,Unit,Normal,175,0,0,high,verified printed 175/264
11,4,73,Palace Chef Droid,,Common,Unit,Normal,73,0,0,high,verified printed 73/264
11,5,238,Attendant Navigator,,Common,Unit,Normal,238,0,0,high,verified printed 238/264
11,6,157,Danger Squadron Wingmen,,Common,Unit,Normal,157,0,0,high,verified printed 157/264
11,7,333,Noti Nomad,,Common,Unit,Hyperspace,69,0,1,high,"CORRECTED 69->333: printed number reads 333 (no /264); borderless full-art, light desert art bleeds to card edges with glare on surface (nonfoil hyperspace number range)"
11,8,213,Womp Rat,,Common,Unit,Normal,213,0,0,high,verified printed 213/264
11,9,262,Faith in the Empire,,Common,Upgrade,Normal,262,0,0,high,verified printed 262/264
11,10,126,Survivors' Langskib,,Common,Unit,Normal,126,0,0,high,verified printed 126/264
11,11,207,Heroic Purrgil,,Common,Unit,Normal,207,0,0,high,verified printed 207/264
11,12,600,AT-ST Raider,,Common,Unit,Hyperspace Foil,98,1,1,high,verified printed 600; borderless full-art with foil shine
11,13,46,Scion Shuttle,At Morgan's Bidding,Uncommon,Unit,Normal,46,0,0,high,verified printed 46/264; dark art but normal frame
11,14,113,Mandalorian Flagship,Captured from the Empire,Uncommon,Unit,Normal,113,0,0,high,verified printed 113/264
11,15,162,Rash Action,,Uncommon,Event,Normal,162,0,0,high,verified printed 162/264
11,16,179,Boba Fett's Rancor,Emotionally Complex Creature,Legendary,Unit,Normal,179,0,0,high,verified printed 179/264; legendary in rare slot
12,1,14,The Mandalorian,We Can't Keep Running,Rare,Leader,Normal,14,0,0,high,"rare leader, sideways at start of row 1; verified printed 14/264, black border"
12,2,21,Emperor's Throne Room,,Common,Base,Normal,21,0,0,high,"verified printed 21/264; location bar reads DEATH STAR, black border"
12,3,76,Remnant Official,,Common,Unit,Normal,76,0,0,high,verified printed 76/264; black border
12,4,166,Ewok Warrior,,Common,Unit,Normal,166,0,0,high,verified printed 166/264
12,5,51,Reinforcing Light Cruiser,,Common,Unit,Normal,51,0,0,high,verified printed 51/264; dark art but normal frame
12,6,370,Pathfinder Sergeant,,Common,Unit,Hyperspace,106,0,1,high,"CORRECTED 106->370: printed number reads 370 (no /264); borderless full-art, jungle art bleeds to card edges"
12,7,497,Keep Them Talking,,Common,Event,Hyperspace,233,0,1,high,"CORRECTED 233->497: printed number reads 497 (no /264); borderless full-art with gold hairline rule, cantina art bleeds to card edges"
12,8,140,Stronger Together,,Common,Event,Normal,140,0,0,high,verified printed 140/264
12,9,225,Tatooine Sand Beast,,Common,Unit,Normal,225,0,0,high,verified printed 225/264
12,10,251,Zealous Soldier,,Common,Unit,Normal,251,0,0,high,verified printed 251/264
12,11,129,Defenders of the Forest,,Common,Unit,Normal,129,0,0,high,verified printed 129/264
12,12,736,Masterstroke,,Common,Event,Hyperspace Foil,234,1,1,high,verified printed 736; borderless dark gray full-art with foil finish
12,13,74,Mos Eisley Modifier,,Uncommon,Unit,Normal,74,0,0,high,verified printed 74/264
12,14,139,Hold Them Off,,Uncommon,Event,Normal,139,0,0,high,verified printed 139/264
12,15,220,Remnant Lookouts,,Uncommon,Unit,Normal,220,0,0,high,verified printed 220/264
12,16,153,Green Leader,Crynyd's Sacrifice,Rare,Unit,Normal,153,0,0,high,rare slot; verified printed 153/264
13,1,3,Baylan Skoll,Power Beyond Dream,Common,Leader,Normal,3,0,0,high,"leader, sideways at start of row 1; printed 3/264 verified, bordered normal frame"
13,2,25,Emperor's Observatory,,Common,Base,Normal,25,0,0,high,"printed 25/264 verified, bordered"
13,3,167,Flarestar Attack Shuttle,,Common,Unit,Normal,167,0,0,high,printed 167/264 verified
13,4,261,Noti Mobile Pod,,Common,Unit,Normal,261,0,0,high,printed 261/264 verified
13,5,48,Imperial Armored Commando,,Common,Unit,Normal,48,0,0,high,"printed 48/264 verified on zoom; full black border, art inside frame - NOT hyperspace (sparkle diamonds are standard ASH frame decor)"
13,6,171,Pegasus Tri-Wing,,Common,Unit,Normal,171,0,0,high,printed 171/264 verified
13,7,430,Ewok Warrior,,Common,Unit,Hyperspace,166,0,1,high,"CORRECTED from 166 Normal: borderless full-art with radiating streaks, printed bare number 430 verified on zoom (hyperspace nonfoil), no foil glare"
13,8,111,Children of the Watch,,Common,Unit,Normal,111,0,0,high,printed 111/264 verified
13,9,263,The Way of the Mand'alor,,Common,Upgrade,Normal,263,0,0,high,"printed 263/264 verified on full-card zoom; full black border, art inside frame - NOT hyperspace"
13,10,234,Masterstroke,,Common,Event,Normal,234,0,0,high,printed 234/264 verified
13,11,95,Remnant Interceptor,,Common,Unit,Normal,95,0,0,high,"printed 95/264 verified, bordered"
13,12,626,Protectorate Fighter,,Common,Unit,Hyperspace Foil,124,1,1,high,"borderless full-art with foil sheen, printed bare number 626 re-verified on zoom"
13,13,160,Kachirho Militia,,Uncommon,Unit,Normal,160,0,0,high,printed 160/264 verified
13,14,64,The Armorer,Secrecy is Our Survival,Uncommon,Unit,Normal,64,0,0,high,printed 64/264 verified
13,15,241,Marrok's Fiend Fighter,Formidable Pursuer,Uncommon,Unit,Normal,241,0,0,high,printed 241/264 verified
13,16,27,Enoch,Solemn Servant,Rare,Unit,Normal,27,0,0,high,rare slot; printed 27/264 verified
14,1,275,Cad Bane,Still Faster than You,Common,Leader,Hyperspace,11,0,1,high,"CORRECTED from 11 Normal: leader sideways at start of row 1, borderless full-art with radiating streaks, printed bare number 275 verified on zoom (hyperspace nonfoil)"
14,2,23,Ancient Henge,,Common,Base,Normal,23,0,0,high,"printed 23/264 verified on full-card zoom, bordered"
14,3,69,Noti Nomad,,Common,Unit,Normal,69,0,0,high,printed 69/264 verified
14,4,164,Alamite Hunter,,Common,Unit,Normal,164,0,0,high,printed 164/264 verified
14,5,87,Cybernetic Enhancements,,Common,Upgrade,Normal,87,0,0,high,printed 87/264 verified
14,6,244,Remnant Trooper Corps,,Common,Unit,Normal,244,0,0,high,printed 244/264 verified
14,7,482,Ferry Droid,,Common,Unit,Hyperspace,218,0,1,high,"CORRECTED from 218 Normal: borderless full-art with radiating streaks, printed bare number 482 verified on zoom (hyperspace nonfoil); this pack has both the hyperspace and the normal copy of Ferry Droid"
14,8,218,Ferry Droid,,Common,Unit,Normal,218,0,0,high,"printed 218/264 verified, bordered normal frame; the other Ferry Droid copy (pos 7) is the hyperspace 482"
14,9,120,Warrior of Clan Kryze,,Common,Unit,Normal,120,0,0,high,printed 120/264 verified
14,10,252,N5 Sentry Droid,,Common,Unit,Normal,252,0,0,high,printed 252/264 verified
14,11,190,Peridea Bandit,,Common,Unit,Normal,190,0,0,high,printed 190/264 verified
14,12,588,Durasteel Plating,,Common,Upgrade,Hyperspace Foil,86,1,1,high,"borderless full-art with foil glare, printed bare number 588 re-verified on zoom"
14,13,93,Captain Pellaeon,Plotting from the Shadows,Uncommon,Unit,Normal,93,0,0,high,"printed 93/264 verified, bordered normal frame"
14,14,41,Outcast,Mercenary Starship,Uncommon,Unit,Normal,41,0,0,high,printed 41/264 verified
14,15,420,R5-D4,Built for Adventure,Uncommon,Unit,Hyperspace,156,0,1,high,"CORRECTED from 156 Normal: borderless full-art with gold radiating streaks, printed bare number 420 verified on zoom (hyperspace nonfoil), no foil glare"
14,16,224,Elzar Mann,Haunted by a Vision,Legendary,Unit,Normal,224,0,0,high,legendary in rare slot; printed 224/264 verified
15,1,9,Ahsoka Tano,Trust in the Force,Common,Leader,Normal,9,0,0,high,"leader, sideways at start of row 1; printed 9/264 verified, bordered"
15,2,20,"Nevarro City, Restored",,Common,Base,Normal,20,0,0,high,"printed 20/264 verified on full-card zoom, bordered"
15,3,165,Clan Vizsla Soldier,,Common,Unit,Normal,165,0,0,high,"printed 165/264 (middle digit blurry, confirmed via Clan Vizsla Soldier title bar + Common rarity icon), bordered"
15,4,81,Nebulon-C Frigate,,Common,Unit,Normal,81,0,0,high,printed 81/264 verified
15,5,145,Praetorian Elite,,Common,Unit,Normal,145,0,0,high,"printed 145/264 verified, bordered (dark frame is normal ASH styling)"
15,6,58,Duchess's Protector,,Common,Unit,Normal,58,0,0,high,printed 58/264 verified
15,7,381,Outland Protector,,Common,Unit,Hyperspace,117,0,1,high,"CORRECTED from 117 Normal: borderless full-art with radiating streaks (art bleeds to card edge), printed bare number 381 verified on zoom (hyperspace nonfoil), no foil glare"
15,8,106,Pathfinder Sergeant,,Common,Unit,Normal,106,0,0,high,printed 106/264 verified
15,9,232,Full of Surprises,,Common,Event,Normal,232,0,0,high,printed 232/264 verified
15,10,250,Imperial Defector,,Common,Unit,Normal,250,0,0,high,printed 250/264 verified
15,11,131,Dinosaur Turtle,,Common,Unit,Normal,131,0,0,high,printed 131/264 verified
15,12,695,Emperor's Champion,,Common,Unit,Hyperspace Foil,193,1,1,high,"borderless full-art with foil sheen, printed bare number 695 re-verified on zoom"
15,13,56,Huyang,Your Aptitude Falls Short,Uncommon,Unit,Normal,56,0,0,high,printed 56/264 verified
15,14,108,Crix Madine,Strike Team Strategist,Uncommon,Unit,Normal,108,0,0,high,printed 108/264 verified
15,15,191,Shin Hati's Fiend Fighter,Compact and Agile,Uncommon,Unit,Normal,191,0,0,high,printed 191/264 verified
15,16,39,Baylan Skoll,Fallen Jedi,Rare,Unit,Normal,39,0,0,high,"rare slot, unit version (not the leader); printed 39/264 verified"
16,1,11,Cad Bane,Still Faster than You,Common,Leader,Normal,11,0,0,high,Printed 11/264 verified.
16,2,22,Kryze Castle,,Common,Base,Normal,22,0,0,high,Printed 22/264 verified.
16,3,143,Tempest Lieutenant,,Common,Unit,Normal,143,0,0,high,Printed 143/264 verified.
16,4,260,Mos Espa Watermonger,,Common,Unit,Normal,260,0,0,high,Printed 260/264 verified.
16,5,45,Reanimated Night Trooper,,Common,Unit,Normal,45,0,0,high,Printed 45/264 verified.
16,6,174,StarFortress Heavy Bomber,,Common,Unit,Normal,174,0,0,high,Printed 174/264 verified.
16,7,526,Faith in the Empire,,Common,Upgrade,Hyperspace,262,0,1,high,CORRECTED: previous pass had 262 Normal. Card is borderless (art bleeds to card edge) and prints ASH-EN 526 = hyperspace variant.
16,8,214,Amnesty Officer,,Common,Unit,Normal,214,0,0,high,Printed 214/264 verified.
16,9,98,AT-ST Raider,,Common,Unit,Normal,98,0,0,high,Printed 98/264 verified.
16,10,233,Keep Them Talking,,Common,Event,Normal,233,0,0,high,Printed 233/264 verified.
16,11,121,Blurrg,,Common,Unit,Normal,121,0,0,high,Printed 121/264 verified.
