pack,pos,number,name,subtitle,rarity,type,variant,slotRole,pullOrder,confidence,note
4,3,407,Tempest Lieutenant,,Common,Unit,Hyperspace,hs,true,high,
4,4,353,Perseverance,,Common,Event,Hyperspace,hs,true,high,
4,5,492,Preparation,,Common,Upgrade,Hyperspace,hs,true,high,
4,6,384,Warrior of Clan Kryze,,Common,Unit,Hyperspace,hs,true,high,
4,7,310,Scion Shuttle,At Morgan's Bidding,Uncommon,Unit,Hyperspace,hs,true,high,
4,8,410,Justifier,Relentless,Uncommon,Unit,Hyperspace,hs,true,high,
4,9,413,Eviscerator,Burn Them Away,Rare,Unit,Hyperspace,hs,true,high,
4,10,807,Whistling Birds,,Legendary,Upgrade,Standard Prestige,prestige,true,high,
4,11,536,Wicket,Yub Nub!,Rare,Unit,Hyperspace Foil,hsf,true,high,
4,12,719,Mayor's Majordomo,No Problem Groveling,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
4,13,677,Wookiee Chieftain,,Common,Unit,Hyperspace Foil,hsf,true,high,
4,14,622,Warrior of Clan Kryze,,Common,Unit,Hyperspace Foil,hsf,true,high,
4,15,575,Palace Chef Droid,,Common,Unit,Hyperspace Foil,hsf,true,high,
4,16,746,Remnant Trooper Corps,,Common,Unit,Hyperspace Foil,hsf,true,high,
5,1,275,Cad Bane,Still Faster than You,Common,Leader,Hyperspace,leader,true,high,
5,2,321,Lothal E-Wing,,Common,Unit,Hyperspace,hs,true,high,
5,3,503,Imperial Loyalist,,Common,Unit,Hyperspace,hs,true,high,
5,4,430,Ewok Warrior,,Common,Unit,Hyperspace,hs,true,high,
5,5,482,Ferry Droid,,Common,Unit,Hyperspace,hs,true,high,
5,6,381,Outland Protector,,Common,Unit,Hyperspace,hs,true,high,
5,7,403,Hold Them Off,,Uncommon,Event,Hyperspace,hs,true,high,
5,8,442,Knobby White Ice Spider,,Uncommon,Unit,Hyperspace,hs,true,high,
5,9,399,The Darksaber,Icon of Leadership,Legendary,Upgrade,Hyperspace,hs,true,high,
5,10,863,One Must Destroy to Create,,Rare,Event,Foil Prestige,prestige,true,high,
5,11,627,Stolen Eta Shuttle,,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
5,12,701,There Is No Conflict,,Special,Upgrade,Hyperspace Foil,hsf,true,high,
5,13,636,Warrior's Legacy,,Common,Upgrade,Hyperspace Foil,hsf,true,high,
5,14,740,Attendant Navigator,,Common,Unit,Hyperspace Foil,hsf,true,high,
5,15,583,Nebulon-C Frigate,,Common,Unit,Hyperspace Foil,hsf,true,high,
5,16,724,Unsanctioned Patrol,,Common,Unit,Hyperspace Foil,hsf,true,high,
6,1,326,The Mandalorian,Devoted Rescuer,Legendary,Unit,Hyperspace,leader,true,high,
6,2,504,Mandalorian Super Commandos,,Common,Unit,Hyperspace,hs,true,high,
6,3,438,StarFortress Heavy Bomber,,Common,Unit,Hyperspace,hs,true,high,
6,4,333,Noti Nomad,,Common,Unit,Hyperspace,hs,true,high,
6,5,370,Pathfinder Sergeant,,Common,Unit,Hyperspace,hs,true,high,
6,6,497,Keep Them Talking,,Common,Event,Hyperspace,hs,true,high,
6,7,293,Scorpenek Annihilator Droid,,Uncommon,Unit,Hyperspace,hs,true,high,
6,8,455,Shin Hati's Fiend Fighter,Compact and Agile,Uncommon,Unit,Hyperspace,hs,true,high,
6,9,300,Rukh,From the Shadows,Rare,Unit,Hyperspace,hs,true,high,
6,10,802,Greef Karga,Introductions are in Order,Uncommon,Unit,Standard Prestige,prestige,true,high,
6,11,581,Koska Reeves,Warrior of Mandalore,Rare,Unit,Hyperspace Foil,hsf,true,high,
6,12,531,Scorpenek Annihilator Droid,,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
6,13,559,Lothal E-Wing,,Common,Unit,Hyperspace Foil,hsf,true,high,
6,14,717,Flanking TIE Interceptor,,Common,Unit,Hyperspace Foil,hsf,true,high,
6,15,753,Zealous Soldier,,Common,Unit,Hyperspace Foil,hsf,true,high,
6,16,668,Ewok Warrior,,Common,Unit,Hyperspace Foil,hsf,true,high,
7,1,273,Ahsoka Tano,Trust in the Force,Common,Leader,Hyperspace,leader,true,high,
7,2,527,The Way of the Mand'alor,,Common,Upgrade,Hyperspace,hs,true,high,
7,3,356,Foundling Rescue,,Common,Event,Hyperspace,hs,true,high,
7,4,409,Praetorian Elite,,Common,Unit,Hyperspace,hs,true,high,
7,5,362,AT-ST Raider,,Common,Unit,Hyperspace,hs,true,high,
7,6,469,Inspiring Veteran,,Common,Unit,Hyperspace,hs,true,high,
7,7,299,Tatooine Repulsor Train,,Uncommon,Unit,Hyperspace,hs,true,high,
7,8,461,Executor,Final Destruction of the Alliance,Special,Unit,Hyperspace,hs,true,high,
7,9,476,Peli Motto,You Bring the Cash?,Rare,Unit,Hyperspace,hs,true,high,
7,10,785,Paz Vizsla,For a Brighter Future,Rare,Unit,Standard Prestige,prestige,true,high,
7,11,722,Remnant Lookouts,,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
7,12,661,Alphabet Squadron U-Wing,Quiet Devotion,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
7,13,598,Forest Patroller,,Common,Unit,Hyperspace Foil,hsf,true,high,
7,14,761,LEP Ratcatcher,,Common,Unit,Hyperspace Foil,hsf,true,high,
7,15,643,TIE Striker,,Common,Unit,Hyperspace Foil,hsf,true,high,
7,16,632,Fang Fighter Squadron,,Common,Unit,Hyperspace Foil,hsf,true,high,
8,1,277,Ezra Bridger,It's Now or Never,Common,Leader,Hyperspace,leader,true,high,
8,2,339,Pit Droid Team,,Common,Unit,Hyperspace,hs,true,high,
8,3,375,Children of the Watch,,Common,Unit,Hyperspace,hs,true,high,
8,4,431,Flarestar Attack Shuttle,,Common,Unit,Hyperspace,hs,true,high,
8,5,478,Amnesty Officer,,Common,Unit,Hyperspace,hs,true,high,
8,6,523,LEP Ratcatcher,,Common,Unit,Hyperspace,hs,true,high,
8,7,500,Far Far Away,,Uncommon,Event,Hyperspace,hs,true,high,
8,8,327,Bo-Katan's Gauntlet,Reinforce from Above,Rare,Unit,Hyperspace,hs,true,high,
8,9,316,Chimaera,A Frightening Reality,Legendary,Unit,Hyperspace,hs,true,high,
8,10,829,Elzar Mann,Haunted by a Vision,Legendary,Unit,Standard Prestige,prestige,true,high,
8,11,674,Razor Crest,Outfitted Armament,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
8,12,658,R5-D4,Built for Adventure,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
8,13,683,Mark My Words,,Common,Upgrade,Hyperspace Foil,hsf,true,high,
8,14,618,Ant Droid,,Common,Unit,Hyperspace Foil,hsf,true,high,
8,15,727,Tatooine Sand Beast,,Common,Unit,Hyperspace Foil,hsf,true,high,
8,16,582,Covert Believers,,Common,Unit,Hyperspace Foil,hsf,true,high,
9,1,281,Greef Karga,Gracious Magistrate,Common,Leader,Hyperspace,leader,true,high,
9,2,402,Turning the Tide,,Common,Event,Hyperspace,hs,true,high,
9,3,452,Galvanized Leap,,Common,Event,Hyperspace,hs,true,high,
9,4,309,Reanimated Night Trooper,,Common,Unit,Hyperspace,hs,true,high,
9,5,520,Rebel Infiltrators,,Common,Unit,Hyperspace,hs,true,high,
9,6,457,Emperor's Champion,,Common,Unit,Hyperspace,hs,true,high,
9,7,424,Kachirho Militia,,Uncommon,Unit,Hyperspace,hs,true,high,
9,8,349,Grav Charge,,Uncommon,Upgrade,Hyperspace,hs,true,high,
9,9,392,Bothan-5,New Republic Prison Ship,Rare,Unit,Hyperspace,hs,true,high,
9,10,866,Leia Organa,Vigilant for Danger,Special,Unit,Foil Prestige,prestige,true,high,
9,11,655,Green Leader,Crynyd's Sacrifice,Rare,Unit,Hyperspace Foil,hsf,true,high,
9,12,615,Mandalorian Flagship,Captured from the Empire,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
9,13,687,Intimidation,,Common,Event,Hyperspace Foil,hsf,true,high,
9,14,733,Diplomatic Pageantry,,Common,Event,Hyperspace Foil,hsf,true,high,
9,15,756,Gallofree Transport,,Common,Unit,Hyperspace Foil,hsf,true,high,
9,16,591,Perseverance,,Common,Event,Hyperspace Foil,hsf,true,high,
10,1,266,Fennec Shand,Ready for War,Rare,Leader,Hyperspace,leader,true,high,
10,2,335,Battered Haulcraft,,Common,Unit,Hyperspace,hs,true,high,
10,3,495,Diplomatic Pageantry,,Common,Event,Hyperspace,hs,true,high,
10,4,449,Intimidation,,Common,Event,Hyperspace,hs,true,high,
10,5,516,N5 Sentry Droid,,Common,Unit,Hyperspace,hs,true,high,
10,6,456,Fennec Shand,The Galaxy Is Dangerous,Uncommon,Unit,Hyperspace,hs,true,high,
10,7,373,T-6 Shuttle 1974,With a Mentor's Dedication,Uncommon,Unit,Hyperspace,hs,true,high,
10,8,423,Alphabet Squadron U-Wing,Quiet Devotion,Uncommon,Unit,Hyperspace,hs,true,high,
10,9,294,Marrok,Mysterious Warrior,Rare,Unit,Hyperspace,hs,true,high,
10,10,803,The Darksaber,Icon of Leadership,Legendary,Upgrade,Standard Prestige,prestige,true,high,
10,11,738,Far Far Away,,Uncommon,Event,Hyperspace Foil,hsf,true,high,
10,12,552,Morgan Elsbeth,Life Abandoned,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
10,13,553,Reinforcing Light Cruiser,,Common,Unit,Hyperspace Foil,hsf,true,high,
10,14,692,Peridea Bandit,,Common,Unit,Hyperspace Foil,hsf,true,high,
10,15,739,Mouse Droid,,Common,Unit,Hyperspace Foil,hsf,true,high,
10,16,609,Clan Wren Loyalist,,Common,Unit,Hyperspace Foil,hsf,true,high,
11,1,280,Shin Hati,Eager Adversary,Common,Leader,Hyperspace,leader,true,high,
11,2,351,Cybernetic Enhancements,,Common,Upgrade,Hyperspace,hs,true,high,
11,3,506,Death Trooper Squad,,Common,Unit,Hyperspace,hs,true,high,
11,4,445,Mark My Words,,Common,Upgrade,Hyperspace,hs,true,high,
11,5,385,Blurrg,,Common,Unit,Hyperspace,hs,true,high,
11,6,480,Mandalorian Scout,,Common,Unit,Hyperspace,hs,true,high,
11,7,401,Wipe Them Out,,Uncommon,Event,Hyperspace,hs,true,high,
11,8,329,Home One,Heart of the Fleet,Uncommon,Unit,Hyperspace,hs,true,high,
11,9,415,Operation Cinder,,Rare,Event,Hyperspace,hs,true,high,
11,10,875,Fennec Shand,The Galaxy Is Dangerous,Uncommon,Unit,Foil Prestige,prestige,true,high,
11,11,737,Sense Through the Force,,Rare,Event,Hyperspace Foil,hsf,true,high,
11,12,611,T-6 Shuttle 1974,With a Mentor's Dedication,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
11,13,563,Strike Team Vanguard,,Common,Unit,Hyperspace Foil,hsf,true,high,
11,14,730,Preparation,,Common,Upgrade,Hyperspace Foil,hsf,true,high,
11,15,744,Death Trooper Squad,,Common,Unit,Hyperspace Foil,hsf,true,high,
11,16,676,StarFortress Heavy Bomber,,Common,Unit,Hyperspace Foil,hsf,true,high,
12,1,272,Moff Gideon,Indomitable Warlord,Common,Leader,Hyperspace,leader,true,high,
12,2,390,Survivors' Langskib,,Common,Unit,Hyperspace,hs,true,high,
12,3,429,Clan Vizsla Soldier,,Common,Unit,Hyperspace,hs,true,high,
12,4,522,Grassroots Resistance,,Common,Event,Hyperspace,hs,true,high,
12,5,453,Emperor's Messenger,,Common,Unit,Hyperspace,hs,true,high,
12,6,388,Protectorate Fighter,,Common,Unit,Hyperspace,hs,true,high,
12,7,313,Shin Hati,Going Somewhere?,Uncommon,Unit,Hyperspace,hs,true,high,
12,8,505,Marrok's Fiend Fighter,Formidable Pursuer,Uncommon,Unit,Hyperspace,hs,true,high,
12,9,475,Fateful Goodbye,,Rare,Event,Hyperspace,hs,true,high,
12,10,819,Leia Organa,Vigilant for Danger,Special,Unit,Standard Prestige,prestige,true,high,
12,11,576,Mos Eisley Modifier,,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
12,12,660,Han Solo,It'll Work,Special,Unit,Hyperspace Foil,hsf,true,high,
12,13,765,The Way of the Mand'alor,,Common,Upgrade,Hyperspace Foil,hsf,true,high,
12,14,716,Amnesty Officer,,Common,Unit,Hyperspace Foil,hsf,true,high,
12,15,659,Danger Squadron Wingmen,,Common,Unit,Hyperspace Foil,hsf,true,high,
12,16,640,Turning the Tide,,Common,Event,Hyperspace Foil,hsf,true,high,
