pack,pos,number,name,subtitle,rarity,type,variant,slotRole,pullOrder,confidence,note
7,4,469,Inspiring Veteran,,Common,Unit,Hyperspace,hs,true,high,
7,5,504,Mandalorian Super Commandos,,Common,Unit,Hyperspace,hs,true,high,
7,6,438,StarFortress Heavy Bomber,,Common,Unit,Hyperspace,hs,true,high,
7,7,310,Scion Shuttle,At Morgan's Bidding,Uncommon,Unit,Hyperspace,hs,true,high,
7,8,436,Razor Crest,Outfitted Armament,Uncommon,Unit,Hyperspace,hs,true,high,
7,9,295,Hera Syndulla,Renegade General,Rare,Unit,Hyperspace,hs,true,high,
7,10,822,Admiral Ackbar,Assume Attack Coordinates,Legendary,Unit,Standard Prestige,prestige,true,high,
7,11,732,Improvised Identity,,Legendary,Upgrade,Hyperspace Foil,hsf,true,high,
7,12,674,Razor Crest,Outfitted Armament,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
7,13,622,Warrior of Clan Kryze,,Common,Unit,Hyperspace Foil,hsf,true,high,
7,14,575,Palace Chef Droid,,Common,Unit,Hyperspace Foil,hsf,true,high,
7,15,746,Remnant Trooper Corps,,Common,Unit,Hyperspace Foil,hsf,true,high,
7,16,707,Inspiring Veteran,,Common,Unit,Hyperspace Foil,hsf,true,high,
8,1,270,Sabine Wren,Bargaining on Belief,Common,Leader,Hyperspace,leader,true,high,
8,2,431,Flarestar Attack Shuttle,,Common,Unit,Hyperspace,hs,true,high,
8,3,478,Amnesty Officer,,Common,Unit,Hyperspace,hs,true,high,
8,4,523,LEP Ratcatcher,,Common,Unit,Hyperspace,hs,true,high,
8,5,527,The Way of the Mand'alor,,Common,Upgrade,Hyperspace,hs,true,high,
8,6,356,Foundling Rescue,,Common,Event,Hyperspace,hs,true,high,
8,7,455,Shin Hati's Fiend Fighter,Compact and Agile,Uncommon,Unit,Hyperspace,hs,true,high,
8,8,403,Hold Them Off,,Uncommon,Event,Hyperspace,hs,true,high,
8,9,427,Reckless Sacrifice,,Rare,Event,Hyperspace,hs,true,high,
8,10,810,Mando's N-1 Starfighter,Faster than a Fathier,Rare,Unit,Standard Prestige,prestige,true,high,
8,11,542,Poe Dameron,I'll Come Back For You,Rare,Unit,Hyperspace Foil,hsf,true,high,
8,12,552,Morgan Elsbeth,Life Abandoned,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
8,13,615,Mandalorian Flagship,Captured from the Empire,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
8,14,583,Nebulon-C Frigate,,Common,Unit,Hyperspace Foil,hsf,true,high,
8,15,724,Unsanctioned Patrol,,Common,Unit,Hyperspace Foil,hsf,true,high,
8,16,677,Wookiee Chieftain,,Common,Unit,Hyperspace Foil,hsf,true,high,
9,1,275,Cad Bane,Still Faster than You,Common,Leader,Hyperspace,leader,true,high,
9,2,520,Rebel Infiltrators,,Common,Unit,Hyperspace,hs,true,high,
9,3,457,Emperor's Champion,,Common,Unit,Hyperspace,hs,true,high,
9,4,339,Pit Droid Team,,Common,Unit,Hyperspace,hs,true,high,
9,5,375,Children of the Watch,,Common,Unit,Hyperspace,hs,true,high,
9,6,299,Tatooine Repulsor Train,,Uncommon,Unit,Hyperspace,hs,true,high,
9,7,293,Scorpenek Annihilator Droid,,Uncommon,Unit,Hyperspace,hs,true,high,
9,8,442,Knobby White Ice Spider,,Uncommon,Unit,Hyperspace,hs,true,high,
9,9,483,Jod Na Nawood,Keeping Secrets,Rare,Unit,Hyperspace,hs,true,high,
9,10,838,Shin Hati,Going Somewhere?,Uncommon,Unit,Foil Prestige,prestige,true,high,
9,11,738,Far Far Away,,Uncommon,Event,Hyperspace Foil,hsf,true,high,
9,12,568,Luke's Jedi Lightsaber,Constructed by Hand,Special,Upgrade,Hyperspace Foil,hsf,true,high,
9,13,753,Zealous Soldier,,Common,Unit,Hyperspace Foil,hsf,true,high,
9,14,668,Ewok Warrior,,Common,Unit,Hyperspace Foil,hsf,true,high,
9,15,636,Warrior's Legacy,,Common,Upgrade,Hyperspace Foil,hsf,true,high,
9,16,740,Attendant Navigator,,Common,Unit,Hyperspace Foil,hsf,true,high,
10,1,326,The Mandalorian,Devoted Rescuer,Legendary,Unit,Hyperspace,leader,true,high,
10,2,449,Intimidation,,Common,Event,Hyperspace,hs,true,high,
10,3,516,N5 Sentry Droid,,Common,Unit,Hyperspace,hs,true,high,
10,4,402,Turning the Tide,,Common,Event,Hyperspace,hs,true,high,
10,5,452,Galvanized Leap,,Common,Event,Hyperspace,hs,true,high,
10,6,309,Reanimated Night Trooper,,Common,Unit,Hyperspace,hs,true,high,
10,7,500,Far Far Away,,Uncommon,Event,Hyperspace,hs,true,high,
10,8,519,Anakin Skywalker,You Were Right About Me,Special,Unit,Hyperspace,hs,true,high,
10,9,366,Ravager,Final Imperial Command,Legendary,Unit,Hyperspace,hs,true,high,
10,10,847,T-6 Shuttle 1974,With a Mentor's Dedication,Uncommon,Unit,Foil Prestige,prestige,true,high,
10,11,533,Hera Syndulla,Renegade General,Rare,Unit,Hyperspace Foil,hsf,true,high,
10,12,611,T-6 Shuttle 1974,With a Mentor's Dedication,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
10,13,643,TIE Striker,,Common,Unit,Hyperspace Foil,hsf,true,high,
10,14,632,Fang Fighter Squadron,,Common,Unit,Hyperspace Foil,hsf,true,high,
10,15,559,Lothal E-Wing,,Common,Unit,Hyperspace Foil,hsf,true,high,
10,16,717,Flanking TIE Interceptor,,Common,Unit,Hyperspace Foil,hsf,true,high,
11,1,273,Ahsoka Tano,Trust in the Force,Common,Leader,Hyperspace,leader,true,high,
11,2,445,Mark My Words,,Common,Upgrade,Hyperspace,hs,true,high,
11,3,385,Blurrg,,Common,Unit,Hyperspace,hs,true,high,
11,4,480,Mandalorian Scout,,Common,Unit,Hyperspace,hs,true,high,
11,5,335,Battered Haulcraft,,Common,Unit,Hyperspace,hs,true,high,
11,6,495,Diplomatic Pageantry,,Common,Event,Hyperspace,hs,true,high,
11,7,424,Kachirho Militia,,Uncommon,Unit,Hyperspace,hs,true,high,
11,8,349,Grav Charge,,Uncommon,Upgrade,Hyperspace,hs,true,high,
11,9,341,Ryder Azadi,Restored Governor,Rare,Unit,Hyperspace,hs,true,high,
11,10,820,Home One,Heart of the Fleet,Uncommon,Unit,Standard Prestige,prestige,true,high,
11,11,712,DDC Defender,,Uncommon,Upgrade,Hyperspace Foil,hsf,true,high,
11,12,576,Mos Eisley Modifier,,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
11,13,727,Tatooine Sand Beast,,Common,Unit,Hyperspace Foil,hsf,true,high,
11,14,582,Covert Believers,,Common,Unit,Hyperspace Foil,hsf,true,high,
11,15,598,Forest Patroller,,Common,Unit,Hyperspace Foil,hsf,true,high,
11,16,761,LEP Ratcatcher,,Common,Unit,Hyperspace Foil,hsf,true,high,
12,1,473,Ezra Bridger,The Force is All I Need,Uncommon,Unit,Hyperspace,leader,true,high,
12,2,453,Emperor's Messenger,,Common,Unit,Hyperspace,hs,true,high,
12,3,388,Protectorate Fighter,,Common,Unit,Hyperspace,hs,true,high,
12,4,351,Cybernetic Enhancements,,Common,Upgrade,Hyperspace,hs,true,high,
12,5,506,Death Trooper Squad,,Common,Unit,Hyperspace,hs,true,high,
12,6,373,T-6 Shuttle 1974,With a Mentor's Dedication,Uncommon,Unit,Hyperspace,hs,true,high,
12,7,423,Alphabet Squadron U-Wing,Quiet Devotion,Uncommon,Unit,Hyperspace,hs,true,high,
12,8,387,Lang,Arrogant Mercenary,Rare,Unit,Hyperspace,hs,true,high,
12,9,447,Whistling Birds,,Legendary,Upgrade,Hyperspace,hs,true,high,
12,10,789,Purrgil Ultra,,Uncommon,Unit,Standard Prestige,prestige,true,high,
12,11,601,Gozanti Assault Carrier,,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
12,12,658,R5-D4,Built for Adventure,Uncommon,Unit,Hyperspace Foil,hsf,true,high,
12,13,756,Gallofree Transport,,Common,Unit,Hyperspace Foil,hsf,true,high,
12,14,591,Perseverance,,Common,Event,Hyperspace Foil,hsf,true,high,
12,15,683,Mark My Words,,Common,Upgrade,Hyperspace Foil,hsf,true,high,
12,16,618,Ant Droid,,Common,Unit,Hyperspace Foil,hsf,true,high,
